School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Ps 6 Lillie D Blake;10;Above average;45 East 81st Street;public;PK, K-5 & Ungraded;669;17;New York City Geographic District # 2;/new-york/new-york/2042-Ps-6-Lillie-D-Blake/
P.S. 40 Augustus St.-Gaudens;10;Above average;320 East 20th Street;public;PK, K-5;709;17;New York City Geographic District # 2;/new-york/new-york/2153-P.S.-40-Augustus-St.-Gaudens/
Ps 42 Benjamin Altman;10;Above average;71 Hester Street;public;PK, K-5;575;13;New York City Geographic District # 2;/new-york/new-york/2163-Ps-42-Benjamin-Altman/
Ps 150;10;Above average;334 Greenwich Street;public;PK, K-5;190;17;New York City Geographic District # 2;/new-york/new-york/2498-Ps-150/
Stuyvesant High School;10;Above average;345 Chambers Street;public;9-12;3319;20;New York City Geographic District # 2;/new-york/new-york/2796-Stuyvesant-High-School/
Ps 89;10;Above average;201 Warren Street;public;PK, K-5;456;16;New York City Geographic District # 2;/new-york/new-york/2854-Ps-89/
Ps 77 Lower Lab School;10;Above average;1700 3rd Avenue;public;K-5;360;20;New York City Geographic District # 2;/new-york/new-york/6250-Ps-77-Lower-Lab-School/
Eleanor Roosevelt High School;10;Above average;411 East 76th Street;public;9-12;528;16;New York City Geographic District # 2;/new-york/new-york/6854-Eleanor-Roosevelt-High-School/
High School For Dual Language And Asian Studies;10;Above average;350 Grand Street;public;9-12 & Ungraded;403;17;New York City Geographic District # 2;/new-york/new-york/8300-High-School-For-Dual-Language-And-Asian-Studies/
High School Math Science And Engineering At Ccny;10;Above average;240 Convent Avenue;public;9-12;490;16;New York City Geographic District # 5;/new-york/new-york/8970-High-School-Math-Science-And-Engineering-At-Ccny/
Battery Park City School;9;Above average;55 BATTERY PL;public;PK, K-8 & Ungraded;850;13;New York City Geographic District # 2;/new-york/new-york/13266-Battery-Park-City-School/
Spruce Street School;9;Above average;12 SPRUCE ST;public;PK, K-8 & Ungraded;559;14;New York City Geographic District # 2;/new-york/new-york/13267-Spruce-Street-School/
Ps 452;9;Above average;210 West 61st Street;public;PK, K-5 & Ungraded;378;12;New York City Geographic District # 3;/new-york/new-york/13498-Ps-452/
P.S. 527 East Side School-Social Actio;9;Above average;323 East 91st Street;public;K-5;429;14;New York City Geographic District # 2;/new-york/new-york/14159-P.S.-527-East-Side-School-Social-Actio/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Success Academy Union Square;9;Above average;40 Irving Place;charter;K-8;720;20;SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE;/new-york/new-york/14163-Success-Academy-Union-Square/
Beacon High School;9;Above average;522 West 44th Street;public;9-12;1424;21;New York City Geographic District # 3;/new-york/new-york/1811-Beacon-High-School/
Unity Center For Urban Technologies;9;Above average;111 East 33rd Street;public;9-12;278;16;New York City Geographic District # 2;/new-york/new-york/1813-Unity-Center-For-Urban-Technologies/
YORKVILLE EAST MIDDLE SCHOOL;9;Above average;1458 York Avenue;public;6-8;230;11;New York City Geographic District # 2;/new-york/new-york/18164-YORKVILLE-EAST-MIDDLE-SCHOOL/
Central Park East High School;9;Above average;1573 Madison Avenue;public;9-12;512;14;New York City Geographic District # 4;/new-york/new-york/1821-Central-Park-East-High-School/
Sixth Avenue Elementary School;9;Above average;64 West 17th Street;public;PK, K-5;340;12;New York City Geographic District # 2;/new-york/new-york/18212-Sixth-Avenue-Elementary-School/
Success Academy Charter - Washington Hgts;9;Above average;701 Fort Washington Avenue;charter;K-4;502;16;SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS;/new-york/new-york/18218-Success-Academy-Charter---Washington-Hgts/
Ps 9 Sarah Anderson;9;Above average;100 West 84th Street;public;PK, K-5;613;15;New York City Geographic District # 3;/new-york/new-york/2050-Ps-9-Sarah-Anderson/
P.S. 41 Greenwich Village;9;Above average;116 West 11th Street;public;PK, K-5 & Ungraded;688;15;New York City Geographic District # 2;/new-york/new-york/2160-P.S.-41-Greenwich-Village/
Ps 59 Beekman Hill International;9;Above average;231-249 E 56TH ST;public;PK, K-5;599;14;New York City Geographic District # 2;/new-york/new-york/2227-Ps-59-Beekman-Hill-International/
Ps 87 William Sherman;9;Above average;160 West 78th Street;public;PK, K-5;895;13;New York City Geographic District # 3;/new-york/new-york/2304-Ps-87-William-Sherman/
Ps 124 Yung Wing;9;Above average;40 Division Street;public;PK, K-5;674;14;New York City Geographic District # 2;/new-york/new-york/2416-Ps-124-Yung-Wing/
Ps 126 Jacob August Riis;9;Above average;80 Catherine Street;public;PK, K-8;711;13;New York City Geographic District # 2;/new-york/new-york/2426-Ps-126-Jacob-August-Riis/
Ps 163 Alfred E Smith;9;Above average;163 West 97th Street;public;PK, K-5 & Ungraded;547;13;New York City Geographic District # 3;/new-york/new-york/2538-Ps-163-Alfred-E-Smith/
Jhs 167 Robert F Wagner;9;Above average;220 East 76th Street;public;6-8 & Ungraded;1378;15;New York City Geographic District # 2;/new-york/new-york/2551-Jhs-167-Robert-F-Wagner/
Ps 171 Patrick Henry;9;Above average;19 East 103rd Street;public;PK, K-8;772;15;New York City Geographic District # 4;/new-york/new-york/2558-Ps-171-Patrick-Henry/
Ps 183 Robert L Stevenson;9;Above average;419 E 66TH ST;public;PK, K-5;558;15;New York City Geographic District # 2;/new-york/new-york/2583-Ps-183-Robert-L-Stevenson/
Ps 199 Jessie Isador Straus;9;Above average;270 West 70th Street;public;K-5 & Ungraded;821;15;New York City Geographic District # 3;/new-york/new-york/2623-Ps-199-Jessie-Isador-Straus/
Nyc Lab High School For Collaborative Studies;9;Above average;333 West 17th Street;public;9-12 & Ungraded;471;11;New York City Geographic District # 2;/new-york/new-york/2777-Nyc-Lab-High-School-For-Collaborative-Studies/
Ella Baker School;9;Above average;317 E 67TH ST;public;PK, K-8;324;13;New York City Geographic District # 2;/new-york/new-york/2857-Ella-Baker-School/
Ps 234 Independence School;9;Above average;292 Greenwich Street;public;K-5;639;14;New York City Geographic District # 2;/new-york/new-york/2880-Ps-234-Independence-School/
The Mott Hall School;9;Above average;71 Convent Avenue;public;6-8;301;13;New York City Geographic District # 6;/new-york/new-york/2913-The-Mott-Hall-School/
Ps 184 Shuang Wen;9;Above average;327 Cherry Street;public;PK, K-8;675;13;New York City Geographic District # 1;/new-york/new-york/6249-Ps-184-Shuang-Wen/
East Side Middle School;9;Above average;331 E 91ST ST;public;6-8;450;15;New York City Geographic District # 2;/new-york/new-york/6416-East-Side-Middle-School/
Lower Manhattan Community Middle School;9;Above average;26 Broadway;public;6-8;385;12;New York City Geographic District # 2;/new-york/new-york/6510-Lower-Manhattan-Community-Middle-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Millennium High School;9;Above average;75 Broad Street;public;9-12 & Ungraded;683;17;New York City Geographic District # 2;/new-york/new-york/6855-Millennium-High-School/
Ballet Tech Nyc Ps For Dance;9;Above average;890 Broadway;public;4-8;141;16;New York City Geographic District # 2;/new-york/new-york/6882-Ballet-Tech-Nyc-Ps-For-Dance/
Manhattan/Hunter Science High School;9;Above average;245 Greenwich Street;public;9-12;441;18;New York City Geographic District # 3;/new-york/new-york/7686-Manhattan-Hunter-Science-High-School/
KIPP S.T.A.R. Charter School;9;Above average;433 West 123rd Street;charter;K-8;1001;12;Kipp Success Through Teamwork Achieve & Respon Col Prep Char;/new-york/new-york/7690-KIPP-S.T.A.R.-Charter-School/
The Anderson School;9;Above average;100 West 77th Street;public;K-8;521;20;New York City Geographic District # 3;/new-york/new-york/8186-The-Anderson-School/
Essex Street Academy;9;Above average;350 Grand Street;public;9-12;337;12;New York City Geographic District # 2;/new-york/new-york/8292-Essex-Street-Academy/
Baruch College Campus High School;9;Above average;55 East 25th Street;public;9-12;476;17;New York City Geographic District # 2;/new-york/new-york/8299-Baruch-College-Campus-High-School/
Muscota;9;Above average;4862 Broadway;public;K-5;293;13;New York City Geographic District # 6;/new-york/new-york/8327-Muscota/
Washington Heights Academy;9;Above average;202 Sherman Avenue;public;PK, K-8;592;16;New York City Geographic District # 6;/new-york/new-york/8974-Washington-Heights-Academy/
Nyc Ischool;8;Above average;131 Avenue of the Americas;public;9-12;464;15;New York City Geographic District # 2;/new-york/new-york/13270-Nyc-Ischool/
Success Academy Charter School-Harlem 2;8;Above average;144 East 128th Street;charter;K-8 & Ungraded;708;11;Harlem Success Academy Charter School 2;/new-york/new-york/13402-Success-Academy-Charter-School-Harlem-2/
The Equity Project Charter School;8;Above average;549 Audubon Avenue;charter;K-8 & Ungraded;845;13;The Equity Project Charter School;/new-york/new-york/13404-The-Equity-Project-Charter-School/
Success Academy Charter School-Harlem 5;8;Above average;301 West 140th Street;charter;K-8;748;13;Harlem Success Academy Charter School 5;/new-york/new-york/13504-Success-Academy-Charter-School-Harlem-5/
KIPP NYC WASHINGTON HEIGHTS CHARTER;8;Above average;21 Jumel Place;charter;K-8;1050;13;KIPP NYC WASHINGTON HEIGHTS ACADEMY CHARTER SCHOOL;/new-york/new-york/13550-KIPP-NYC-WASHINGTON-HEIGHTS-CHARTER/
Success Academy Upper West;8;Above average;145 West 84th Street;charter;K-8;790;14;Upper West Success Academy Charter School;/new-york/new-york/13562-Success-Academy-Upper-West/
Ps 8 Luis Belliard;8;Above average;465 West 167th Street;public;PK, K-5 & Ungraded;495;12;New York City Geographic District # 6;/new-york/new-york/1913-Ps-8-Luis-Belliard/
Ps 110 Florence Nightingale;8;Above average;285 Delancey Street;public;PK, K-5;374;14;New York City Geographic District # 1;/new-york/new-york/2375-Ps-110-Florence-Nightingale/
Ps 125 Ralph Bunche;8;Above average;425 West 123rd Street;public;PK, K-5;280;13;New York City Geographic District # 5;/new-york/new-york/2420-Ps-125-Ralph-Bunche/
Ps 130 Hernando De Soto;8;Above average;143 Baxter Street;public;PK, K-5;856;15;New York City Geographic District # 2;/new-york/new-york/2438-Ps-130-Hernando-De-Soto/
Ps 166 The Richard Rogers School Of The Arts And S;8;Above average;132 West 89th Street;public;K-5;638;16;New York City Geographic District # 3;/new-york/new-york/2547-Ps-166-The-Richard-Rogers-School-Of-The-Arts-And-S/
Ps 173;8;Above average;306 Fort Washington Avenue;public;PK, K-5 & Ungraded;479;12;New York City Geographic District # 6;/new-york/new-york/2562-Ps-173/
Humanities Preparatory Academy;8;Above average;351 West 18th Street;public;9-12;233;14;New York City Geographic District # 2;/new-york/new-york/2811-Humanities-Preparatory-Academy/
Is 289;8;Above average;201 Warren Street;public;6-8;283;14;New York City Geographic District # 2;/new-york/new-york/2855-Is-289/
Ms 131;8;Above average;100 Hester Street;public;6-8;401;12;New York City Geographic District # 2;/new-york/new-york/2885-Ms-131/
Ps Is 217 Roosevelt Island;8;Above average;645 MAIN ST;public;PK, K-8 & Ungraded;615;14;New York City Geographic District # 2;/new-york/new-york/2887-Ps-Is-217-Roosevelt-Island/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Jhs 104 Simon Baruch;8;Above average;330 East 21st Street;public;6-8 & Ungraded;1117;15;New York City Geographic District # 2;/new-york/new-york/2891-Jhs-104-Simon-Baruch/
Fiorello H Laguardia High School of Music, Art and Performing Arts;8;Above average;100 Amsterdam Avenue;public;9-12;2762;19;New York City Geographic District # 3;/new-york/new-york/2897-Fiorello-H-Laguardia-High-School-Of-Music-Art-And-Performing-Arts/
Manhattan Center for Science & Mathematics;8;Above average;260 Pleasant Avenue;public;9-12;1657;18;New York City Geographic District # 4;/new-york/new-york/2914-Manhattan-Center-For-Science--Mathematics/
Ms 243 Center School;8;Above average;100 West 84th Street;public;5-8;240;17;New York City Geographic District # 3;/new-york/new-york/6253-Ms-243-Center-School/
Ms 245 The Computer School;8;Above average;100 West 77th Street;public;6-8;403;15;New York City Geographic District # 3;/new-york/new-york/6255-Ms-245-The-Computer-School/
Lafayette Academy;8;Above average;154 West 93rd Street;public;6-8;154;7;New York City Geographic District # 3;/new-york/new-york/6260-Ms-256-Academic-And-Athletic-Excellence/
Sisulu Walker Charter School Of Harlem;8;Above average;125 West 115th Street;charter;K-5;220;9;Sisulu-Walker Charter School Of Harlem;/new-york/new-york/6403-Sisulu-Walker-Charter-School-Of-Harlem/
Ms 255 Salk School Of Science;8;Above average;320 East 20th Street;public;6-8;395;15;New York City Geographic District # 2;/new-york/new-york/6418-Ms-255-Salk-School-Of-Science/
New Explorations Into Science, Tech and Math High School;8;Above average;111 Columbia Street;public;K-12;1752;17;New York City Geographic District # 1;/new-york/new-york/6473-New-Explorations-Into-Science-Tech-And-Math-High-School/
Harlem Village Academy West Charter;8;Above average;244 West 144th Street;charter;K-12;878;8;Harlem Village Academy Charter School Ehvacs;/new-york/new-york/7689-Harlem-Village-Academy-West-Charter/
47 the American Sign Language and English Lower School;8;Above average;223 East 23rd Street;public;PK, K-8;196;4;New York City Geographic District # 2;/new-york/new-york/8289-47-The-American-Sign-Language-And-English-Lower-School/
Tag Young Scholars;8;Above average;240 East 109th Street;public;K-8;594;24;New York City Geographic District # 4;/new-york/new-york/8310-Tag-Young-Scholars/
Harlem Village Academy East Charter School;8;Above average;2351 1st Avenue;charter;K-12 & Ungraded;676;8;Harlem Village Academy Leadership Charter School;/new-york/new-york/8315-Harlem-Village-Academy-Leadership-Middle-School/
Columbia Secondary School;8;Above average;425 West 123rd Street;public;6-12 & Ungraded;716;14;New York City Geographic District # 5;/new-york/new-york/8971-Columbia-Secondary-School/
Success Academy Charter School-Harlem 3;7;Above average;410 East 100th Street;charter;K-12;1111;10;Harlem Success Academy Charter School 3;/new-york/new-york/13400-Success-Academy-Charter-School-Harlem-3/
Inwood Academy For Leadership Charter School;7;Above average;3896 10th Avenue;charter;5-12 & Ungraded;916;15;Inwood Academy For Leadership Charter School;/new-york/new-york/13510-Inwood-Academy-For-Leadership-Charter-School/
Is 528 Bea Fuller Rodgers School;7;Above average;180 Wadsworth Avenue;public;6-8 & Ungraded;230;12;New York City Geographic District # 6;/new-york/new-york/1802-Is-528-Bea-Fuller-Rodgers-School/
New York French American Charter School;7;Above average;311 West 120th Street;charter;PK, K-8;282;11;New York French-American Charter School;/new-york/new-york/18083-New-York-French-American-Charter-School/
Park East High School;7;Above average;230 East 105th Street;public;9-12;389;13;New York City Geographic District # 4;/new-york/new-york/1812-Park-East-High-School/
West End Secondary School;7;Above average;227 West 61st Street;public;6-11 & Ungraded;431;14;New York City Geographic District # 3;/new-york/new-york/18214-West-End-Secondary-School/
School In The Square Public Charter School;7;Above average;120 Wadsworth Avenue;charter;K, 6-8;301;12;School in the Square Public Charter School;/new-york/new-york/18320-School-In-The-Square-Public-Charter-School/
Ps 11 William T Harris;7;Above average;320 West 21st Street;public;PK, K-5;879;15;New York City Geographic District # 2;/new-york/new-york/2058-Ps-11-William-T-Harris/
Ps 15 Roberto Clemente;7;Above average;333 East 4th Street;public;PK, K-5 & Ungraded;171;7;New York City Geographic District # 1;/new-york/new-york/2068-Ps-15-Roberto-Clemente/
Ps 33 Chelsea Prep;7;Above average;281 9th Avenue;public;PK, K-5;638;16;New York City Geographic District # 2;/new-york/new-york/2129-Ps-33-Chelsea-Prep/
Jhs 54 Booker T Washington;7;Above average;103 West 107th Street;public;6-8 & Ungraded;869;16;New York City Geographic District # 3;/new-york/new-york/2211-Jhs-54-Booker-T-Washington/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Ps 75 Emily Dickinson;7;Above average;735 West End Avenue;public;K-5;552;7;New York City Geographic District # 3;/new-york/new-york/2274-Ps-75-Emily-Dickinson/
The Bilingual Bicultural School;7;Above average;219 East 109th Street;public;PK, K-5;316;9;New York City Geographic District # 4;/new-york/new-york/2294-The-Bilingual-Bicultural-School/
Ps 116 Mary Lindley Murray;7;Above average;210 East 33rd Street;public;PK, K-5;502;13;New York City Geographic District # 2;/new-york/new-york/2394-Ps-116-Mary-Lindley-Murray/
P.S. 158 Baylard Taylor;7;Above average;1458 YORK AVE;public;PK, K-5 & Ungraded;796;15;New York City Geographic District # 2;/new-york/new-york/2525-P.S.-158-Baylard-Taylor/
Ps Is 187 Hudson Cliffs;7;Above average;349 Cabrini Boulevard;public;PK, K-8;774;15;New York City Geographic District # 6;/new-york/new-york/2591-Ps-Is-187-Hudson-Cliffs/
Nyc Museum School;7;Above average;333 West 17th Street;public;9-12;451;17;New York City Geographic District # 2;/new-york/new-york/2790-Nyc-Museum-School/
Ps Is 210 21st Century Academy For Community Lders;7;Above average;501-503 W 152ND ST;public;PK, K-8;414;12;New York City Geographic District # 6;/new-york/new-york/2791-Ps-Is-210-21st-Century-Academy-For-Community-Lders/
Ms 247 Dual Language Middle School;7;Above average;100 West 77th Street;public;6-8;224;9;New York City Geographic District # 3;/new-york/new-york/6257-Ms-247-Dual-Language-Middle-School/
Ps 333 Manhattan School For Children;7;Above average;154 West 93rd Street;public;K-8 & Ungraded;755;15;New York City Geographic District # 3;/new-york/new-york/6262-Ps-333-Manhattan-School-For-Children/
Ps 212 Midtown West;7;Above average;328 West 48th Street;public;PK, K-5 & Ungraded;362;17;New York City Geographic District # 2;/new-york/new-york/6417-Ps-212-Midtown-West/
The Clinton School;7;Above average;10 East 15th Street;public;6-12;721;15;New York City Geographic District # 2;/new-york/new-york/6419-Ms-260-Clinton-School-Writers-And-Artists/
The East Village Community School;7;Above average;610 East 12th Street;public;PK, K-5;333;12;New York City Geographic District # 1;/new-york/new-york/6505-The-East-Village-Community-School/
Nyc Lab Ms For Collaborative Studies;7;Above average;333 West 17th Street;public;6-8;563;16;New York City Geographic District # 2;/new-york/new-york/7685-Nyc-Lab-Ms-For-Collaborative-Studies/
Middle School 322;7;Above average;4600 Broadway;public;6-8 & Ungraded;388;11;New York City Geographic District # 6;/new-york/new-york/8189-Middle-School-322/
Bard High School Early College;7;Above average;525 East Houston Street;public;9-12;614;17;New York City Geographic District # 1;/new-york/new-york/8286-Bard-High-School-Early-College/
Girls Prep Lower East Side;7;Above average;442 East Houston Street;charter;PK, K-8;650;12;Girls Preparatory Charter School Of New York;/new-york/new-york/8287-Girls-Prep-Lower-East-Side/
Harlem Children S Zone Promise Academy Ii Charter;7;Above average;2005 Madison Avenue;charter;K-12;1039;12;Harlem Children's Zone Promise Academy Ii Charter School;/new-york/new-york/8309-Harlem-Children-S-Zone-Promise-Academy-Ii-Charter/
Harlem Children's Zone Promise Academy Charter School;7;Above average;245 West 129th Street;charter;K-12;1142;14;Harlem Children's Zone Promise Academy Charter School;/new-york/new-york/8322-Harlem-Childrens-Zone-Promise-Academy-Charter-School/
Kipp Infinity Charter School;7;Above average;625 West 133rd Street;charter;K-12 & Ungraded;1099;12;Kipp Infinity Charter School;/new-york/new-york/8324-Kipp-Infinity-Charter-School/
Paula Hedbavny School;7;Above average;421 West 219th Street;public;K-8 & Ungraded;554;15;New York City Geographic District # 6;/new-york/new-york/8325-Paula-Hedbavny-School/
Amistad Dual Language School;7;Above average;4862 Broadway;public;K-8;406;13;New York City Geographic District # 6;/new-york/new-york/8326-Amistad-Dual-Language-School/
Ms 324 Patria Mirabal;7;Above average;21 Jumel Place;public;6-8 & Ungraded;339;10;New York City Geographic District # 6;/new-york/new-york/8331-Ms-324-Patria-Mirabal/
Success Academy Harlem 1;7;Above average;34 West 118th Street;charter;K-12;1225;14;Harlem Success Academy Charter School;/new-york/new-york/8771-Success-Academy-Harlem-1/
Yorkville Community School;6;Average;421 East 88th Street;public;PK, K-5;486;12;New York City Geographic District # 2;/new-york/new-york/13265-Yorkville-Community-School/
Renaissance School Of The Arts;6;Average;319 East 117th Street;public;6-8 & Ungraded;170;7;New York City Geographic District # 4;/new-york/new-york/13283-Renaissance-School-Of-The-Arts/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
St Hope Leadership Academy Charter School;6;Average;222 West 134th Street;charter;6-8;300;10;St Hope Leadership Academy Charter School;/new-york/new-york/13403-St-Hope-Leadership-Academy-Charter-School/
Frank Mccourt High School;6;Average;145 West 84th Street;public;9-12;414;15;New York City Geographic District # 3;/new-york/new-york/13500-Frank-Mccourt-High-School/
Urban Assembly Gateway School For Technology;6;Average;439 West 49th Street;public;9-12 & Ungraded;456;12;New York City Geographic District # 2;/new-york/new-york/13624-Urban-Assembly-Gateway-School-For-Technology/
Teachers College Community School;6;Average;223 West 132nd Street;public;PK, K-8;311;13;New York City Geographic District # 5;/new-york/new-york/14169-Teachers-College-Community-School/
Neighborhood Charter School of Harlem;6;Average;691 Saint Nicholas Avenue;charter;K-8 & Ungraded;585;8;NEIGHBORHOOD CHARTER SCHOOL OF HARLEM;/new-york/new-york/14171-Neighborhood-Charter-School-Of-Harlem/
Castle Bridge School;6;Average;560 West 169th Street;public;PK, K-5 & Ungraded;214;10;New York City Geographic District # 6;/new-york/new-york/14172-Castle-Bridge-School/
Global Community Charter School;6;Average;2350 5th Avenue;charter;PK, K-6;422;11;GLOBAL COMMUNITY CHARTER SCHOOL;/new-york/new-york/14173-Global-Community-Charter-School/
Ps 5 Ellen Lurie;6;Average;3703 10TH AVE;public;PK, K-5;556;11;New York City Geographic District # 6;/new-york/new-york/1799-Ps-5-Ellen-Lurie/
HAMILTON GRANGE MIDDLE SCHOOL;6;Average;500 West 138th Street;public;6-8;294;11;New York City Geographic District # 6;/new-york/new-york/18168-HAMILTON-GRANGE-MIDDLE-SCHOOL/
High School for Health Professions & Human Services;6;Average;345 East 15th Street;public;9-12;1840;18;New York City Geographic District # 2;/new-york/new-york/1829-High-School-For-Health-Professions--Human-Services/
Middle 297;6;Average;75 Morton Street;public;6-8 & Ungraded;559;14;New York City Geographic District # 2;/new-york/new-york/18349-Middle-297/
New Visions Charter High-Humanities Iv;6;Average;205 East 42nd Street;charter;9-12;190;10;New Visions Charter High School for the Humanities IV;/new-york/new-york/18392-New-Visions-Charter-High-Humanities-Iv/
Gregorio Luperon High School for Science and Mathematics;6;Average;501 West 165th Street;public;9-12;512;17;New York City Geographic District # 6;/new-york/new-york/1880-Gregorio-Luperon-High-School-For-Science-And-Mathematics/
Talent Unlimited High School;6;Average;317 East 67th Street;public;9-12;519;14;New York City Geographic District # 2;/new-york/new-york/1883-Talent-Unlimited-High-School/
Ps 4 Duke Ellington;6;Average;500 West 160th Street;public;PK, K-5;502;12;New York City Geographic District # 6;/new-york/new-york/1912-Ps-4-Duke-Ellington/
Professional Performing Arts High School;6;Average;328 West 48th Street;public;6-12;562;20;New York City Geographic District # 2;/new-york/new-york/1916-Professional-Performing-Arts-High-School/
Art and Design High School;6;Average;231-249 E 56TH ST;public;9-12;1485;15;New York City Geographic District # 2;/new-york/new-york/1931-Art-And-Design-High-School/
Ps 2 Meyer London;6;Average;122 Henry Street;public;PK, K-5;476;10;New York City Geographic District # 2;/new-york/new-york/2031-Ps-2-Meyer-London/
Ps 19 Asher Levy;6;Average;185 1st Avenue;public;PK, K-5;247;6;New York City Geographic District # 1;/new-york/new-york/2081-Ps-19-Asher-Levy/
Ps 20 Anna Silver;6;Average;166 Essex Street;public;PK, K-5;482;11;New York City Geographic District # 1;/new-york/new-york/2084-Ps-20-Anna-Silver/
Ps 30 Hernandez Hughes;6;Average;144 East 128th Street;public;PK, K-5;251;7;New York City Geographic District # 5;/new-york/new-york/2118-Ps-30-Hernandez-Hughes/
S.T.A.R. Academy - PS 63;6;Average;121 East 3rd Street;public;PK, K-5;231;9;New York City Geographic District # 1;/new-york/new-york/2242-S.T.A.R.-Academy---PS-63/
Ps 98 Shorac Kappock;6;Average;512 West 212th Street;public;PK, K-6;413;11;New York City Geographic District # 6;/new-york/new-york/2341-Ps-98-Shorac-Kappock/
Ps 111 Adolph S Ochs;6;Average;440 West 53rd Street;public;PK, K-5 & Ungraded;408;11;New York City Geographic District # 2;/new-york/new-york/2378-Ps-111-Adolph-S-Ochs/
Jhs 143 Eleanor Roosevelt;6;Average;511 West 182nd Street;public;6-8 & Ungraded;247;9;New York City Geographic District # 6;/new-york/new-york/2477-Jhs-143-Eleanor-Roosevelt/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Ps 165 Robert E Simon;6;Average;234 West 109th Street;public;PK, K-5;428;11;New York City Geographic District # 3;/new-york/new-york/2545-Ps-165-Robert-E-Simon/
Ps 189;6;Average;2580 Amsterdam Avenue;public;PK, K-5;736;12;New York City Geographic District # 6;/new-york/new-york/2594-Ps-189/
Ps 192 Jacob H Schiff;6;Average;500 West 138th Street;public;PK, K-5;392;11;New York City Geographic District # 6;/new-york/new-york/2604-Ps-192-Jacob-H-Schiff/
Ps 198 Isador E Ida Straus;6;Average;1700 3rd Avenue;public;PK, K-5;484;13;New York City Geographic District # 2;/new-york/new-york/2621-Ps-198-Isador-E-Ida-Straus/
School Of The Future High School;6;Average;127 East 22nd Street;public;6-12;748;14;New York City Geographic District # 2;/new-york/new-york/2782-School-Of-The-Future-High-School/
Community Action School Ms 258;6;Average;154 West 93rd Street;public;6-8 & Ungraded;240;10;New York City Geographic District # 3;/new-york/new-york/6261-Community-Action-School-Ms-258/
University Neighborhood High School;6;Average;200 Monroe Street;public;9-12 & Ungraded;482;14;New York City Geographic District # 1;/new-york/new-york/6268-University-Neighborhood-High-School/
Tompkins Square Middle School;6;Average;600 East 6th Street;public;6-8 & Ungraded;362;12;New York City Geographic District # 1;/new-york/new-york/6509-Tompkins-Square-Middle-School/
Ps 83 Luis Munoz Rivera;6;Average;219 East 109th Street;public;PK, K-5 & Ungraded;418;14;New York City Geographic District # 4;/new-york/new-york/7688-Ps-83-Luis-Munoz-Rivera/
City College Academy Of The Arts;6;Average;4600 Broadway;public;6-12;611;15;New York City Geographic District # 6;/new-york/new-york/8191-City-College-Academy-Of-The-Arts/
